id,item_id,introduction_type,left
2370,7.3.2.3,old,""
2378,7.3.3.4,old,""
2389,7.4.2,old,"11.2.3 카문과 닫힌 승강장문 사이의 수평거리 또는 문이 정상 작동하는 동안 문 사이의 접근거리는 0.12 m 이하이어야 한다.
승강기 안전기준 연혁집[v1.0]
❙ 74"
2394,7.5.1,old,""
2397,7.5.2.1,current,"7.5.2.1 「건축법」 등 관계 법령에 따라 승강장문에 방화 등급이 요구되는 경우, 관련 규정에
적합한 승강장문이 설치되어야 한다.
  비고 국토교통부 고시 또는 승강기안전부품 안전기준 별표 10을 참조한다."
2398,7.5.2.1,old,""
2400,7.5.2.2,current,"7.5.2.2 승강장문(방화문)에는 보기 쉬운 곳에 쉽게 지워지지 않는 방법으로 별표 10에 따른
표시사항이 표시되어야 한다.
승강기 안전기준 연혁집[v1.0]
❙ 76"
2404,7.5.3.1,old,""
2614,8.6.2,current,"8.6.2 카문은 닫혔을 때 필수적인 틈새를 제외하고 카 출입구를 완전히 막아야 한다.
승강기 안전기준 연혁집[v1.0]
❙ 70"
2624,8.6.3.1,current,"8.6.3.1 카문이 닫혀 있을 때, 문짝사이의 틈새 또는 문짝과 문설주, 인방 또는 문턱 사이의 틈새는 6 ㎜ 이하로 가능한 작아야 
한다. 다만, 마모될 경우에는 10 ㎜까지 허용될 수 있다. 이 틈새는 움푹 들"
2625,8.6.3.1,old,""
2627,8.6.3,old,""
2629,8.6.3,old,""
2636,8.1.2,old,"3.1.2(6) 카 및 승강장 문은 다음 각항의 기준에 적합하여야 한다.
 ① 카 및 승강장 문의 유효 출입구의 높이는 2.0m이상이어야 한다. 다만, 화물용 및 자동차용은 제외한다.
승강기 안전기준 연혁집[v1.0"
2651,8.6.6,old,"7.2.1 승강장문 및 문틀은 시간이 경과되어도 변형되지 않는 방법으로 설치되어야 한다. 승강장문 및 문틀은 이 기준을 만족하기 
위해 금속으로 하는 것을 권장한다.
7.5.2 방화 등급
7.5.2.1 「건축법」 등"
2652,8.6.6,old,"7.2.2 방화 등급
건축법령에서 방화등급이 요구되는 경우에는 관련 규정에 적합한 승강장문이 설치되어야 한다.
7.5.2.2 승강장문(방화문)에는 보기 쉬운 곳에 쉽게 지워지지 않는 방법으로 별표 10에 따른
표시사"
2656,8.6.7.1,old,"7.2.3.1 잠금장치가 있는 승강장문이 잠긴 상태에서 5 ㎠ 면적의 원형이나 사각의 단면에 300 N의 힘을 균등하게 분산하여 
문짝의 어느 지점에 수직으로 가할 때, 승강장문의 기계적 강도는 다음과 같아야 한다."
2665,8.6.7.1,old,"7.2.3.2 수평 개폐식 및 접이식 문의 선행 문짝을 열리는 방향에서 가장 취약한 지점에 장비를 사용하지 않고 손으로 약 150 N의 
힘을 가했을 때, 7.1에 규정된 틈새는 6 mm를 초과할 수 있으나 다음에서"
2686,8.7.2,current,"8.7.2 동력 작동식 문
동력 작동식 문은 사람이 문짝과 충돌하여 입게 되는 유해한 결과를 최소로 줄일 수 있도록 설계되어야 한다. 이 목적을 위해 
다음 규정에 적합하여야 한다.
카문과 승강장문이 연동되어 동시에"
2690,8.8,current,"8.8 문닫힘 동작의 반전
자동 동력 작동식 문의 닫힘 동작을 반전시키는 장치는 카의 다른 제어장치와 함께 위치되어야 한다.
엘리베이터에 전기적 크리핑 방지시스템이 설치된 경우에는 쌍안정의 문 반전 장치가 사용되지 "
2696,8.8,old,"4.1.5(3) 자동으로 동력에 의해 문을 닫는 방식에서의 문닫힘안전장치는 다음 기준에 적합하여야 한다.
 ① 문닫힘 동작시 사람 또는 물건이 끼이거나 문닫힘안전장치 연결전선이 끊어지면 문이 반전하여 열리도록 하는 "
2743,8.7.2.1.2,old,"7.7.3.2.1 각 승강장문은 승강로 밖(승강장)에서 열쇠로 잠금이 해제되어야 한다. 이 열쇠는 별표 1의 부속서 Ⅱ에서 규정한 
열쇠구멍에 맞는 것이어 한다.
7.9.3.2 비상잠금해제 삼각열쇠 구멍은 승강장문의"
2763,8.9.1,old,""
2765,8.9.3,current,"8.9.3 카문에 잠금장치가 필요한 경우[11.2.1다)], 카문의 잠금장치는 승강장문의 잠금장치(7.7.3.1 참조)와 동일한 구조로 설계되어 
작동되어야 한다.
[승강기안전부품 안전기준 및 승강기 안전기준] 별표"
2767,8.9.3,old,""
2769,8.10.1,old,""
2770,8.10.2,current,"8.10.2 기계적으로 간접 연결(로프, 벨트 또는 체인 등에 의해)된 여러 개의 문짝으로 이뤄진 개폐식 문은 다음과 같은 경우에 
하나의 문짝에 전기안전장치가(8.9.2)가 설치될 수 있다.
 가) 그 문짝은 구동"
2772,8.10.2,old,""
2775,8.11.2,old,""
