item_id,patterns,text_preview
1.2.2.1-마,"현행 별표22와 동일 요건|구 별표19|구 기준 번호로 적용|별표22와 동일","마) 기계실의 환기가「엘리베이터 안전기준」6.1.3에 따라 적합한지 확인한다."
1.2.2.1-바,"현행 별표22와 동일 요건|구 별표19|구 기준 번호로 적용|별표22와 동일","바) 조명이「엘리베이터 안전기준」6.1.4.2, 6.1.5.2가)에 따라 적합한지 확인한다."
1.2.2.1-사,"현행 별표22와 동일 요건|구 별표19|구 기준 번호로 적용|별표22와 동일","사) 콘센트가「엘리베이터 안전기준」6.1.5.2나)에 따라 1개 이상 있는지 확인한다."
1.2.2.1-아,"현행 별표22와 동일 요건|구 별표19|구 기준 번호로 적용|별표22와 동일","아) 양중용 지지대 및 고리에「엘리베이터 안전기준」6.1.7에 따라 허용 하중이 표시되어 있는지 확인한다."
1.3.1-라,"현행 별표22와 동일 요건|구 별표19|구 기준 번호로 적용|별표22와 동일","라) 피트 점검운전 조작반에서 엘리베이터 정상운행으로의 복귀가「엘리베이터 안전기준」16.1.5.2.2에 따른 조건에서만 가능한지 확인한다."
1.3.1-마,"현행 별표22와 동일 요건|구 별표19|구 기준 번호로 적용|별표22와 동일","마) 승강장문을 통해서만 피트로 출입할 수 있는 경우「엘리베이터 안전기준」7.9.3.5에 따라 승강장문 잠금장치에 접근이 가능한지 확인한다."
1.3.1-바,"현행 별표22와 동일 요건|구 별표19|구 기준 번호로 적용|별표22와 동일","바) 튀어오름 방지장치가 설치된 경우,「엘리베이터 안전기준」6.5.6.1.3에 따라 적합하게 적용되어 있는지 확인한다."
1.3.2-가,"현행 별표22와 동일 요건|구 별표19|구 기준 번호로 적용|별표22와 동일","가) 권상구동 엘리베이터의 균형추 및 평형추가 가장 낮은 위치(유압식 엘리베이터의 경우, 램이 가장 높은 위치)에 있을 때 카의 상부틈새가 적합"
1.3.2-나,"현행 별표22와 동일 요건|구 별표19|구 기준 번호로 적용|별표22와 동일","나) 권상구동 엘리베이터의 카가 가장 낮은 위치에 있을 때 균형추 및 평형추의 상부틈새가 적합한지 확인한다."
1.3.2-라,"현행 별표22와 동일 요건|구 별표19|구 기준 번호로 적용|별표22와 동일","라) 피난공간의 허용 가능 인원 및 자세 유형 표지가「엘리베이터 안전기준」6.5.7.1 및 6.5.8.1에 따라 카지붕 및 피트에 부착되어 있는"
1.3.3-가,"현행 별표22와 동일 요건|구 별표19|구 기준 번호로 적용|별표22와 동일","가) 완충기가 확실하게 고정되고 충돌지점에 정확하게 정렬되는지 확인한다."
1.3.5-가,"현행 별표22와 동일 요건|구 별표19|구 기준 번호로 적용|별표22와 동일","가) 밀폐식 승강로의 경우「엘리베이터 안전기준」6.5.2.2.1에 따라 허용하는 개구부를 제외하고 구멍이 없는지 확인한다."
1.3.5-다,"현행 별표22와 동일 요건|구 별표19|구 기준 번호로 적용|별표22와 동일","다) 여러 대의 엘리베이터가 있는 경우,「엘리베이터 안전기준」6.5.5.2에 따라 설치된 칸막이가 움직이는 부품들과 충돌이 없는지 확인한다."
1.3.5-마,"현행 별표22와 동일 요건|구 별표19|구 기준 번호로 적용|별표22와 동일","마) 승강로 환기가「엘리베이터 안전기준」6.1.3에 따라 적합한지 확인한다."
